FID,id,source,project,pcode,site_name,today,visit,status,geom,longitude,latitude,ward_name,village_name,site_status,site_type,site_registration,site_registration_reason,site_registration_date,site_registration_owner,site_access,workers_numb,women_numb,women_activity,children_numb,children_activity,tools,workers_accomodation,mineral_numb,mineral1_name,selling_points,processing_location,processing_steps,environment,environment_comment,conflict,conflict_comment,incident,incident_comment,authorities,authorities_freq,protection_quantity,protection_equipment,facilities
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-644e,58,IPIS,IPIS - ZELA 2019,zwemine00057,nhamo 46 sabi,2019-02-21,1,1,POINT (30.1253367491394 -20.3452384796396),30.12533675,-20.34523848,14,village 6 north devon,Production,underground / Reef,Yes,,,Company,Truck,8,0,,,,Compressors Jack hammers,In a support village On site,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,Land degradation,Land disputes Distribution of revenue,demanded shares  as representatives,None,,None,,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-644d,59,IPIS,IPIS - ZELA 2019,zwemine00157,Ndabezinhle Sibanda,2019-02-22,0,1,POINT (30.1628743801196 -20.4717566953203),30.16287438,-20.4717567,15,Mulove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-644c,60,IPIS,IPIS - ZELA 2019,zwemine00058,Vukwe13,2019-02-22,1,1,POINT (30.1639719227342 -20.4698459589799),30.16397192,-20.46984596,15,Mulove,Production,underground / Reef,Yes,,2015-01-01,Individual,Truck,5,0,,0,,"Compressors Jack hammers Generator, pump, shovels, hammer, chisels, picks Hoist (winches)",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open trenches,None,,None,,CID,Irregularly,Some of them,Gumboots Worksuits (overalls),In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-644b,61,IPIS,IPIS - ZELA 2019,zwemine00059,Henry Maranda,2019-02-22,0,1,POINT (30.1307382422236 -20.4652956853456),30.13073824,-20.46529569,14,Mulove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-644a,62,IPIS,IPIS - ZELA 2019,zwemine00060,Sip 37,2019-02-22,1,1,POINT (30.1298601655429 -20.4879944753102),30.12986017,-20.48799448,15,Gwiiptima,Production,Open Cast / Alluvial / trench,Yes,,,Individual,Truck,6,0,,0,,Stamp mill,On site,1,Milling site,,On site,Crushing Use of mercury Use of cyanide,Yes,,None,,None,,Local authorities CID,Irregularly,Some of them,Helmets Worksuits (overalls) Gumboots,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6449,63,IPIS,IPIS - ZELA 2019,zwemine00061,SMH syndicate,2019-02-22,1,1,POINT (30.1470229108132 -20.4463688117212),30.14702291,-20.44636881,15,Mulove,Production,underground / Reef,Yes,,2019-01-01,Cooperatives,Truck,7,0,,0,,"Hoist (winches) Shovels, picks, hammers, chisels",On site,1,Gold,,On site,Crushing Panning Slicing Use of mercury,No,,None,,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6448,64,IPIS,IPIS - ZELA 2019,zwemine00062,Blessing mine,2019-02-22,1,1,POINT (30.1472895247343 -20.4461605776157),30.14728952,-20.44616058,14,Ndigune village,Production,underground / Reef,Yes,,2019-02-22,Individual,Truck,8,0,,0,,"Hoist (winches) Shovels, picks, hammers, chisels",In a support village,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,CID,Irregularly,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6447,65,IPIS,IPIS - ZELA 2019,zwemine00063,rupemba boklands farm,2019-02-22,1,1,POINT (30.1165435458397 -20.5240857831121),30.11654355,-20.52408578,19,kenneth mhanga,Production,underground / Reef,Yes,,2018-09-22,Individual,Truck Car Motorcycle,30,0,,0,,"Jack hammers Compressors Picks, shovels",In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,degradation,Land disputes,land dispute over ownership,None,,None,,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6446,66,IPIS,IPIS - ZELA 2019,zwemine00064,s.g mega mine,2019-02-22,1,1,POINT (30.1181287089997 -20.5266306332858),30.11812871,-20.52663063,15,bedford mine,Production,underground / Reef,Yes,,2008-09-19,Individual,Car,81,3,Monitoring production pits,0,,Compressors Jack hammers Hoist (winches),In a support village On site,1,Gold,Fidelity Directly,On site,Use of mercury Panning Slicing Crushing,No,,None,,Injuries,Stoned from blasting fragments,Police Min of Mines EMA,Monthly,Most of them,Helmets Gumboots Worksuits (overalls) Gloves,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6445,67,IPIS,IPIS - ZELA 2019,zwemine00065,Hard rock,2019-02-22,1,1,POINT (30.1217322653129 -20.5233548360731),30.12173227,-20.52335484,19,Mhlanga,Production,Open Cast / Alluvial / trench,Yes,,2018-09-22,Company,Truck Car Motorcycle Foot,20,2,Surface digging,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,"Open pits, land degradation",None,,None,,None,,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6444,68,IPIS,IPIS - ZELA 2019,zwemine00066,Tribute Youth Sabi,2019-02-21,1,1,POINT (30.1306018707427 -20.3718646511338),30.13060187,-20.37186465,14,Gwemvurachena 6,Production,underground / Reef,No,,,,Truck,40,0,,4,Surface digging,Jack hammers Compressors Hoist (winches),On site In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,Land degradation,Local vs foreigners,Machete fight with villagers,Injuries,Mine collapse,Local authorities,Monthly,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6443,69,IPIS,IPIS - ZELA 2019,zwemine00191,Tatenda gold mine ,2019-02-22,1,1,POINT (30.1552963796087 -20.5071984122446),30.15529638,-20.50719841,15,Baye,Production,underground / Reef,Yes,,2006-02-22,Cooperatives,Truck,5,0,,0,,Jack hammers Compressors Hoist (winches),In a support village,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,Open pits,Local vs foreigners,Kwekwe mafias come with guns and force themselves on peoples mine.,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6442,70,IPIS,IPIS - ZELA 2019,zwemine00067,S and C mining Syndicate,2019-02-22,0,1,POINT (30.1054160027546 -20.5287367457884),30.105416,-20.52873675,15,Bedford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6441,71,IPIS,IPIS - ZELA 2019,zwemine00068,Y,2019-02-22,0,1,POINT (30.1061235464661 -20.5288833589175),30.10612355,-20.52888336,19, Rupemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6440,72,IPIS,IPIS - ZELA 2019,zwemine00069,Y,2019-02-22,0,1,POINT (30.1046739520206 -20.5288630343539),30.10467395,-20.52886303,19,Rupemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-643f,73,IPIS,IPIS - ZELA 2019,zwemine00070,Tsungiriro,2019-02-22,0,1,POINT (30.1945807510999 -20.5074023029666),30.19458075,-20.5074023,15,Sidhavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-643e,74,IPIS,IPIS - ZELA 2019,zwemine00071,Vukwe 13,2019-02-22,1,1,POINT (30.1599881518266 -20.4759921903067),30.15998815,-20.47599219,15,Mulobe,Production,underground / Reef,Yes,,2006-03-07,Individual,Truck,10,1,Surface digging,0,,Compressors Jack hammers,In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,"Open pits, deforestation",None,,None,,CID Local authorities,Irregularly,Some of them,Helmets Gumboots,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-643d,75,IPIS,IPIS - ZELA 2019,zwemine00072,Vukwe,2019-02-22,0,1,POINT (30.160550972719 -20.4729712135747),30.16055097,-20.47297121,15,Mulobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-643c,167,IPIS,IPIS - ZELA 2019,zwemine00162,Josfert,2019-02-25,0,1,POINT (29.925343505969 -20.3968506291262),29.92534351,-20.39685063,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-643b,168,IPIS,IPIS - ZELA 2019,zwemine00163,Josphat,2019-02-25,0,1,POINT (29.9249286745994 -20.397167100008),29.92492867,-20.3971671,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-643a,76,IPIS,IPIS - ZELA 2019,zwemine00073,Chiduho mining syndicate,2019-02-22,1,1,POINT (30.1196627405396 -20.4907237058921),30.11966274,-20.49072371,15,Gwitima,Exploration,underground / Reef,Yes,,2017-04-17,Cooperatives,Truck,14,1,Cooker,0,,Compressors Jack hammers,On site In a support village,1,Antimony,,,,No,,,,,,Min of Mines,Irregularly,All of them,Helmets Gumboots Worksuits (overalls) Gloves Facemasks Safety glasses Earmuffs,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6439,77,IPIS,IPIS - ZELA 2019,zwemine00074,Wanghang,2019-02-22,1,1,POINT (30.1210410695205 -20.4935200626028),30.12104107,-20.49352006,15,Gwitima,Production,underground / Reef,Yes,,2018-04-07,Company,Truck,3,0,,0,,Manual,On site,1,Antimony,,,,No,,,,None,,Min of Mines,Irregularly,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6438,78,IPIS,IPIS - ZELA 2019,zwemine00075,Gwamadube,2019-02-22,1,1,POINT (30.1567920956128 -20.4520687317996),30.1567921,-20.45206873,15,Mulobe,Abandoned temporarily,underground / Reef,Yes,,2001-02-22,Individual,Truck,0,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,EMA Min of Mines,Irregularly,Some of them,Helmets Gumboots Worksuits (overalls),In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6437,79,IPIS,IPIS - ZELA 2019,zwemine00076,Emily & phiri mining syndicate,2019-02-22,1,1,POINT (30.1575919368655 -20.4463818066606),30.15759194,-20.44638181,15,Ndigune,Production,underground / Reef,Yes,,2013-01-04,Cooperatives,Truck,4,0,,0,,Manual,On a compound,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,None,,All of them,Helmets Gumboots Worksuits (overalls) Gloves,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6436,80,IPIS,IPIS - ZELA 2019,zwemine00077,Y,2019-02-23,1,1,POINT (29.9017457720273 -20.3931316318574),29.90174577,-20.39313163,19,Gunya,Abandoned temporarily,underground / Reef,Yes,,2001-02-23,Individual,Truck,4,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,Land disputes,Farmers resettle inside the mine,None,,EMA Police CID Health Min of Mines Local authorities,Monthly,Some of them,Helmets Worksuits (overalls),None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6435,81,IPIS,IPIS - ZELA 2019,zwemine00208,Home,2019-02-23,1,1,POINT (29.901174827056 -20.3956713835922),29.90117483,-20.39567138,19,Gunya,Production,underground / Reef,No,Financial issue,,,Truck,5,0,,0,,Ball mill,On site,1,Gold,Fidelity Agent on the mill,On site,Crushing Use of mercury,No,,None,,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6434,82,IPIS,IPIS - ZELA 2019,zwemine00078,Sydstar 32,2019-02-23,1,1,POINT (29.8968451240314 -20.3948647412715),29.89684512,-20.39486474,19,Gunya,Production,underground / Reef,Yes,,2011-02-23,Company,Truck,60,0,,0,,"Stamp mill ,ball mill,boiler",On site On a compound,1,Gold,Fidelity Directly,Milling point,,No,,Land disputes Local vs foreigners,Squaters settled in the mine,Loss of property,"Armed robbers break in the premises and stole ,gold anf oug if 8 cases onlh 1 case is still in the court.",EMA Police CID RBZ Health Min of Mines ZIMRA Local authorities,Weekly,All of them,Helmets Gumboots Worksuits (overalls) Gloves Facemasks Safety glasses Earmuffs,Pit latrines Showers
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6433,83,IPIS,IPIS - ZELA 2019,zwemine00079,Y,2019-02-23,1,1,POINT (29.8967240312425 -20.396156109259),29.89672403,-20.39615611,19,Gunya,Abandoned temporarily,underground / Reef,Yes,,2001-02-23,Individual,Truck,3,1,Surface digging,0,,"Shovel,picks,etc",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,Land disputes,Squaters,None,,EMA CID Min of Mines Local authorities,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6432,84,IPIS,IPIS - ZELA 2019,zwemine00080,Alatena49,2019-02-23,1,1,POINT (29.8965086955732 -20.3975976863209),29.8965087,-20.39759769,19,Magarasadza,Production,underground / Reef,Yes,,1996-02-23,Individual,Truck,8,0,,0,,"Jack hammers Compressors Generator,pump",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None Rising prices,,None,,EMA CID Local authorities,Weekly,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6431,85,IPIS,IPIS - ZELA 2019,zwemine00081,Sydstar 36,2019-02-23,1,1,POINT (29.8952838971728 -20.3985046277593),29.8952839,-20.39850463,19,Magarasadza,Production,underground / Reef,Yes,,2011-02-23,Cooperatives,Truck,9,0,,0,,"Jack hammers Compressors Hoist (winches) Generator,pump, etc",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,Injuries,Two fingers were cut by hummer mill belt,CID,Monthly,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6430,86,IPIS,IPIS - ZELA 2019,zwemine00082,Sydtar ,2019-02-23,1,1,POINT (29.893848288341 -20.3992931119644),29.89384829,-20.39929311,19,Magarasadza,Abandoned temporarily,underground / Reef,Yes,,2015-02-23,Individual,,4,0,,0,,"Shaels, picks",On site,1,Gold,Fidelity Agent on the mill,Milling point,,No,,None,,None,,CID,Monthly,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-642f,87,IPIS,IPIS - ZELA 2019,zwemine00083,Y,2019-02-23,1,1,POINT (29.8916587201747 -20.3999739641463),29.89165872,-20.39997396,19,Magarasadza,Production,underground / Reef,Yes,,2007-02-23,Individual,Truck,15,1,Cook,0,,Jack hammers Compressors Hoist (winches) Other,On site In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,EMA CID Local authorities,Monthly,Some of them,Helmets Gumboots Worksuits (overalls),None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-642e,88,IPIS,IPIS - ZELA 2019,zwemine00084,Tendele,2019-02-23,0,1,POINT (29.889053681921 -20.3999190182251),29.88905368,-20.39991902,19,Magarasadza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-642d,89,IPIS,IPIS - ZELA 2019,zwemine00085,Aletena 36,2019-02-23,0,1,POINT (29.8862256126836 -20.4001475558185),29.88622561,-20.40014756,19,Magarasadza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-642c,90,IPIS,IPIS - ZELA 2019,zwemine00086,Y,2019-02-23,0,1,POINT (29.8844493588789 -20.3982920120833),29.88444936,-20.39829201,19,Magarasadza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-642b,91,IPIS,IPIS - ZELA 2019,zwemine00087,N/A,2019-02-23,1,1,POINT (29.8864599468152 -20.3960246404527),29.88645995,-20.39602464,19,Magarasadza,Production,underground / Reef,No,Financial issue,,,Truck,2,0,,0,,"Shovels, picks",On site,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,Open pits,None,,None,,CID,Monthly,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-642a,92,IPIS,IPIS - ZELA 2019,zwemine00088,Aletena7,2019-02-23,0,1,POINT (29.8902984299522 -20.395802553769),29.89029843,-20.39580255,19,Magaeasadza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6429,93,IPIS,IPIS - ZELA 2019,zwemine00089,Y,2019-02-23,1,1,POINT (29.8904992626681 -20.3938670684557),29.89049926,-20.39386707,19,Magarasadza,Production,underground / Reef,No,Financial issue,,,Truck,5,0,,0,,"Shovel, picks",On site,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,Open pits,None,,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6428,94,IPIS,IPIS - ZELA 2019,zwemine00090,Y,2019-02-23,0,1,POINT (29.8409188911422 -20.3710633847511),29.84091889,-20.37106338,19,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6427,169,IPIS,IPIS - ZELA 2019,zwemine00164,Waterton,2019-02-25,0,1,POINT (29.9179170558312 -20.4026143435159),29.91791706,-20.40261434,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6426,170,IPIS,IPIS - ZELA 2019,zwemine00165,Waterton,2019-02-25,0,1,POINT (29.9183528463161 -20.4029759023979),29.91835285,-20.4029759,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6425,95,IPIS,IPIS - ZELA 2019,zwemine00091,Galena7,2019-02-23,1,1,POINT (29.9010661372804 -20.3907906945198),29.90106614,-20.39079069,19,Gunya,Production,underground / Reef,Yes,,1998-02-23,Individual,Truck,10,0,,0,,"Jack hammers Compressors Hoist (winches) Shovel,picks",On site In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,Land disputes,Farmers resettle inside mine pegs,None,,EMA Police CID Min of Mines Local authorities,Monthly,Some of them,Helmets Worksuits (overalls),None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6424,96,IPIS,IPIS - ZELA 2019,zwemine00092,Altena 51,2019-02-23,1,1,POINT (29.8997965427666 -20.3837499327891),29.89979654,-20.38374993,19,Gunya,Production,underground / Reef,Yes,,2008-02-23,Individual,Truck Car Motorcycle Foot,10,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,"Open pits, land degradation",None,,None,,EMA CID Local authorities,Irregularly,Some of them,Helmets Gumboots Worksuits (overalls) Gloves Safety glasses,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6423,97,IPIS,IPIS - ZELA 2019,zwemine00093,Galina,2019-02-23,0,1,POINT (29.8983475693515 -20.3834587810206),29.89834757,-20.38345878,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6422,98,IPIS,IPIS - ZELA 2019,zwemine00094,New shabanie 3,2019-02-23,0,1,POINT (29.8974191546581 -20.3825451729333),29.89741915,-20.38254517,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6421,99,IPIS,IPIS - ZELA 2019,zwemine00095,New shabanie 4,2019-02-23,0,1,POINT (29.8967814813304 -20.380516502551),29.89678148,-20.3805165,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6420,100,IPIS,IPIS - ZELA 2019,zwemine00096,Nipo mine,2019-02-23,1,1,POINT (29.8954967399802 -20.3762338644102),29.89549674,-20.37623386,19,Gunya,Production,underground / Reef,Yes,,2009-11-23,Individual,Truck,10,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,The site is well fanced,None,,Loss of life Injuries,He blast him self at the pit,EMA Police CID Min of Mines,Monthly,All of them,Helmets Gumboots Worksuits (overalls) Gloves Facemasks,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-641f,101,IPIS,IPIS - ZELA 2019,zwemine00097,Gudo4,2019-02-23,1,1,POINT (29.8952834855864 -20.375111655917),29.89528349,-20.37511166,19,Gunya,Production,underground / Reef,Yes,,2013-02-23,Individual,Truck Car Motorcycle Foot,5,0,,0,,Jack hammers Compressors Excavators,On site,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,"Open pits, land degradation",Local vs foreigners,They wanted to take their ore.,None,,EMA CID Local authorities,Irregularly,Some of them,Helmets,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-641e,102,IPIS,IPIS - ZELA 2019,zwemine00098,Gudo 5,2019-02-23,1,1,POINT (29.8907853784905 -20.3744557864373),29.89078538,-20.37445579,19,Gunya,Production,underground / Reef,Yes,,2000-02-23,Individual,Truck Car Motorcycle Foot,7,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,"Open pits, land degradation",None,,None,,EMA Police CID Local authorities,Irregularly,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-641d,103,IPIS,IPIS - ZELA 2019,zwemine00099,Gudo 6,2019-02-23,1,1,POINT (29.8872348782742 -20.3734037529729),29.88723488,-20.37340375,19,Chromdry,Production,underground / Reef,Yes,,1999-10-06,Individual,Truck,6,0,,0,,Metal detectors Jack hammers Compressors,In a support village,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,Open pit,None,,None,,EMA CID Health Min of Mines ZIMRA,Monthly,Most of them,Helmets Gumboots Worksuits (overalls) Gloves,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-641c,183,IPIS,IPIS - ZELA 2019,zwemine00176,Masaina site,2019-02-25,1,1,POINT (29.9662395362974 -20.3552617541576),29.96623954,-20.35526175,19,Mapolisa village 5,Production,underground / Reef,Yes,,2010-11-25,Individual,Foot,30,0,,0,,Compressors Jack hammers,On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,,,Some of them,Helmets Gumboots Worksuits (overalls),Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-641b,104,IPIS,IPIS - ZELA 2019,zwemine00209,Gudo 7,2019-02-23,1,1,POINT (29.8868610878642 -20.3789775181929),29.88686109,-20.37897752,19,Chromedry,Abandoned temporarily,Open Cast / Alluvial / trench,Yes,,1997-08-23,Individual,Truck,13,0,,0,,Metal detectors Jack hammers Compressors Excavators,In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,Many open pits,None,,None,,EMA RBZ Min of Mines,Irregularly,All of them,Gumboots Worksuits (overalls),In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-641a,105,IPIS,IPIS - ZELA 2019,zwemine00100,Gudo,2019-02-23,0,1,POINT (29.8865578440896 -20.3857279305263),29.88655784,-20.38572793,19,Chrome draai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6419,106,IPIS,IPIS - ZELA 2019,zwemine00101,Chakwizira and Magotiso,2019-02-23,1,1,POINT (29.8916750603527 -20.3844242285484),29.89167506,-20.38442423,19,Chrome draai,Production,Open Cast / Alluvial / trench,Yes,,2000-02-23,Cooperatives,Truck Car Motorcycle Foot,10,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,"Land degradation, open pits",None,,None,,EMA Police CID Health Min of Mines Local authorities,Irregularly,Some of them,Helmets Gumboots,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6418,107,IPIS,IPIS - ZELA 2019,zwemine00102,Gudo mine,2019-02-23,0,1,POINT (29.8953020864876 -20.3860256166088),29.89530209,-20.38602562,19,Magarasadza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6417,108,IPIS,IPIS - ZELA 2019,zwemine00103,Mushanyabasa,2019-02-23,1,1,POINT (29.8984391296248 -20.3880750259726),29.89843913,-20.38807503,19,Magarasadza,Production,underground / Reef,Yes,,2008-08-15,Individual,Truck Car Motorcycle Foot,4,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,They are pits everywhere,None,,None,,EMA CID,Monthly,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6416,109,IPIS,IPIS - ZELA 2019,zwemine00104,Ndlovu,2019-02-23,1,1,POINT (29.8416475357372 -20.3704078884637),29.84164754,-20.37040789,19,Kuwirirana,Production,Open Cast / Alluvial / trench,Yes,,2003-07-17,Individual,Foot,5,0,,0,,Metal detectors Jack hammers Compressors,In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,EMA Police CID Min of Mines,Monthly,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6415,110,IPIS,IPIS - ZELA 2019,zwemine00105,Gudo mine,2019-02-23,0,1,POINT (29.9037394124835 -20.3855916298756),29.90373941,-20.38559163,19,Gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6414,111,IPIS,IPIS - ZELA 2019,zwemine00106,hungoidza 33,2019-02-23,1,1,POINT (29.9052415813755 -20.3917688770269),29.90524158,-20.39176888,19,Gunya village,Production,underground / Reef,Yes,,2004-07-18,Individual,Truck,0,0,,0,,Ball mills,On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,Loss of property,Robbed cash & ore,None,,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6413,112,IPIS,IPIS - ZELA 2019,zwemine00107,allertina,2019-02-23,1,1,POINT (29.9063453467703 -20.3897660924223),29.90634535,-20.38976609,19,gonya,Production,underground / Reef,Yes,,2005-02-23,Individual,Truck Car Motorcycle,1,0,,0,,"Jack hammers Compressors Shovel, picks",In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,land degradation,Land disputes,dispute,None,,None,,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6412,113,IPIS,IPIS - ZELA 2019,zwemine00108,mtulisi,2019-02-23,0,1,POINT (29.9067317057849 -20.3981432918961),29.90673171,-20.39814329,19,gunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
